id,spieler1,spieler2,torep1,torep2,,datum,eintragdatum,uhrzeit,PunkteSpieler1,PunkteSpieler2,groesse
1253,Kim,sabrina,2,0,,02.02.2011,02.02.2011,19:19:04,8,-8,1
1252,Kim,sabrina,3,0,,01.02.2011,01.02.2011,16:14:45,11,-11,1
1251,Kim,sabrina,1,0,,31.01.2011,31.01.2011,19:33:30,7,-7,1
1250,haemp,sabrina,2,0,,30.01.2011,30.01.2011,14:28:08,8,-8,1
1248,sabrina,Sam,1,0,,29.01.2011,29.01.2011,23:04:47,20,-20,1
1247,haemp,sabrina,1,0,,29.01.2011,29.01.2011,23:03:49,5,-5,1
1246,haemp,Sam,2,0,,29.01.2011,29.01.2011,23:03:30,14,-14,1
1245,Cheesu,Kubbtaen Jack,2,1,,29.01.2011,29.01.2011,17:16:59,-9,9,1
1244,haemp,Xoeidi,0,1,,23.01.2011,24.01.2011,08:50:42,-20,20,1
1242,Simel,Xoeidi,1,1,,23.01.2011,23.01.2011,18:26:02,-1,1,1
1241,Cheesu,Simel,1,0,,23.01.2011,23.01.2011,18:25:24,8,-8,1
1236,Fleischbueb,Xoeidi,2,0,,23.01.2011,23.01.2011,18:19:23,27,-27,1
1235,Fleischbueb,haemp,1,1,,23.01.2011,23.01.2011,18:18:29,12,-12,1
1234,Cheesu,haemp,1,1,,23.01.2011,23.01.2011,18:18:03,-5,5,1
1233,Cheesu,Fleischbueb,1,1,,23.01.2011,23.01.2011,18:17:16,-15,15,1
1232,Minu,Birx,1,0,,19.01.2011,19.01.2011,14:41:40,9,-9,1
1227,Fleischbueb,Kubbtaen Jack,1,1,,18.01.2011,18.01.2011,18:47:55,-2,2,1
1224,Beno,vero,2,0,,16.01.2011,16.01.2011,16:57:47,6,-6,1
1223,Granatoepfel,Beno,1,2,,16.01.2011,16.01.2011,16:56:40,11,-11,1
1222,Granatoepfel,vero,1,1,,16.01.2011,16.01.2011,16:56:14,0,0,1
1221,Mistoepfel,KubbJunkie,2,0,,16.01.2011,16.01.2011,16:50:16,30,-30,1
1220,Gravensteiner,KubbJunkie,6,0,,16.01.2011,16.01.2011,16:43:54,20,-20,1
1219,Gravensteiner,Mistoepfel,2,1,,16.01.2011,16.01.2011,16:43:15,-7,7,1
1218,Simi,Saennae,0,2,,15.01.2011,16.01.2011,12:07:55,-33,33,1
1217,Cheesu,Birx,1,0,,15.01.2011,16.01.2011,12:07:26,5,-5,1
1216,Cheesu,Minu,2,0,,15.01.2011,16.01.2011,12:07:13,15,-15,1
1215,Cheesu,Kubbtaen Jack,2,0,,15.01.2011,16.01.2011,12:07:03,9,-9,1
1214,Cheesu,Saennae,2,0,,15.01.2011,16.01.2011,12:06:50,6,-6,1
1213,Cheesu,Fleischbueb,2,0,,15.01.2011,16.01.2011,12:06:31,10,-10,1
1212,Cheesu,Samweis,1,0,,14.01.2011,14.01.2011,21:17:13,12,-12,1
1211,Cheesu,Saennae,1,0,,14.01.2011,14.01.2011,21:17:01,5,-5,1
1210,Cheesu,Kubbtaen Jack,2,1,,14.01.2011,14.01.2011,21:16:27,-7,7,1
1209,Gravensteiner,KubbJunkie,14,6,,14.01.2011,14.01.2011,17:38:32,2,-2,1
1203,Anakondator,The Shizzle,1,1,,29.12.2010,09.01.2011,17:19:05,8,-8,1
1202,haemp,Simel,0,1,,09.01.2011,09.01.2011,17:08:43,-19,19,1
1201,haemp,Xoeidi,1,0,,09.01.2011,09.01.2011,17:08:06,9,-9,1
1200,Simel,Xoeidi,0,3,,09.01.2011,09.01.2011,17:07:27,-30,30,1
1199,Cheesu,Kubbtaen Jack,1,0,,08.01.2011,09.01.2011,00:30:31,6,-6,1
1195,Sam,haemp,0,1,,08.01.2011,08.01.2011,17:37:53,-9,9,1
1194,Sam,sabrina,1,0,,08.01.2011,08.01.2011,17:37:32,10,-10,1
1193,haemp,sabrina,3,0,,08.01.2011,08.01.2011,17:36:53,9,-9,1
1191,nils lauper,haemp,0,1,,01.01.2011,01.01.2011,14:57:43,-12,12,1
1190,Sam,haemp,0,1,,01.01.2011,01.01.2011,14:57:23,-10,10,1
1189,Sam,nils lauper,1,0,,01.01.2011,01.01.2011,14:56:56,17,-17,1
1188,haemp,chnibeler,2,0,,01.01.2011,01.01.2011,01:06:17,14,-14,1
1187,Kim,Sam,2,1,,23.12.2010,23.12.2010,12:19:03,2,-2,1
1186,Kim,haemp,1,3,,22.12.2010,22.12.2010,22:28:23,-14,14,1
1185,haemp,sabrina,3,0,,18.12.2010,18.12.2010,00:34:12,20,-20,1
1183,haemp,Simel,1,0,,18.12.2010,18.12.2010,00:33:01,16,-16,1
1182,haemp,Kim,1,0,,18.12.2010,18.12.2010,00:32:46,18,-18,1
1180,haemp,morelli,3,0,,18.12.2010,18.12.2010,00:31:18,27,-27,1
1179,Simel,sabrina,3,0,,18.12.2010,18.12.2010,00:30:05,18,-18,1
